date,x_source,x_text,x_text_translated,x_timestamp_utc3,evacuation_zone_prompt,facebook_source,facebook_timestamp_utc3,leaflet,leaflet_text_translated,safezone_prompt,link,map_idf,map_full,map_zoom,displacement_blocks,labeled_safe_blocks,evacuation_zone,safezone,area_sq_km_displacement,area_sq_km_labeled_safe
2025-06-02,https://x.com/AvichayAdraee/status/1929570249591968075,"#عاجل ‼️ إلى جميع المتواجدين في البلوكات 47, 106, 108, 109 في محافظة خان يونس
⭕️جيش الدفاع الإسرائيلي سوف يعمل بقوة شديدة في مناطق وجودكم
⭕️تواصل المنظمات الإرهابية وفي مقدمتها حماس الأنشطة الإرهابية من المناطق المدنية التي تعيشون فيها
🔴من اجل سلامتكم، اخلوا فوراً غرباً الى المواصي🔴
⭕️نؤكد ان أمر الاخلاء لا يشمل مستشفى الأمل","To all those present in blocks 47, 106, 108, 109 in Khan Yunis Governorate
⭕️ The IDF will operate with great force in the areas where you are present.
⭕️ Terrorist organizations, primarily Hamas, continue their terrorist activities from the civilian areas in which you live.
🔴 For your safety, evacuate immediately west to Al Mawasi. 🔴
⭕️ We confirm that the evacuation order does not include Al Amal Hospital.",19:06,,https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid08YJdJsvQGQKezdKCmobyobYp85rDkXQxmLjAEAoFFVBEVoe4R7cyrCiAPrax6ne6l,19:07,,,,https://gazamaps.com/displacement/108,https://gazamaps.com/storage/displacement-maps/gaza/idf/0jlHJ9VYxJccmmILmEZIPvZVnKt3vxnIYb4kaYBy.jpg,,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37.1, 37.2, 38, 39, 40, 41, 42.1, 42.2, 42.3, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88.2, 99, 100, 101, 102, 103, 104, 105, 106, 108, 109, 114, 115, 116, 117, 118, 121, 122, 123, 124, 125, 126, 127, 131, 212, 213, 214, 215, 216, 217, 218, 219, 220.1, 220.2, 221, 222, 223, 224, 225, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 260.1, 260.2, 270.1, 270.2, 651.1, 654, 655, 656, 657, 658, 659, 660, 671, 2200, 2210, 2231.2, 2231.3, 2250.1, 2250.2, 2260.1, 2260.2, 2260.3, 2270.1, 2270.2, 2270.3, 2280.1, 2280.2, 2352, 2353, 2354, 2355, 2358, 2359, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 3261",,Khan Yunis Governate,Al Mawasi,169.29,0.0
2025-05-31,https://x.com/avichayadraee/status/1928879035733491847,"#عاجل ‼️إلى جميع سكان خانيونس وبني سهيلا وعبسان 
⭕️المنظمات الإرهابية تواصل استخدام محيطكم لإطلاق القذائف الصاروخية نحو إسرائيل حيث سيهاجم جيش الدفاع بقوة كل منطقة يتم استخدامها منطلقًا لأنشطة إرهابية. 
⭕️تم انذار وتحذير هذه المنطقة عدة مرات في الماضي وتم تحديدها منطقة قتال خطيرة
⭕️تتحمل المنظمات الارهابية وفي مقدمتها حماس المسؤولية الكاملة عن معاناة ونزوح السكان
⭕️عليكم اخلاء المنطقة فورًا والانتقال غربًا إلى منطقة المواصي. 
 ⭕️المنظمات الأرهابية جلبت لكم الكارثة - من أجل سلامتكم اخلوا فورًا","To all residents of Khan Yunis, Bani Suhaila and Abasan
⭕️ Terrorist organizations continue to use your surroundings to launch rockets towards Israel. The IDF will forcefully attack any area used as a launching pad for terrorist activities.
⭕️ This area has been warned and warned several times in the past and has been identified as a dangerous combat zone.
⭕️ Terrorist organizations, primarily Hamas, bear full responsibility for the suffering and displacement of the population.
⭕️ You must evacuate the area immediately and move west to the Mawasi area.
⭕️ Terrorist organizations have brought you disaster - for your safety, evacuate immediately.",21:19,,,,,,,https://gazamaps.com/displacement/107,https://gazamaps.com/storage/displacement-maps/gaza/idf/BbP0b3QgpQJWDsnKFHUNkHgHObyrxhdAPjWWRqZX.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/LGRqZrGP2ns1ob6BnTw3J7N8UFfkch4x6zN28Xra.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/P9QDatoYSu6F0W2DHcUZbEsT0xvLhC92eWKGYij3.jpg,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37.1, 37.2, 38, 39, 40, 41, 42.1, 42.2, 42.3, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88.2, 99, 100, 101, 102, 103, 104, 105, 106, 114, 115, 116, 117, 118, 121, 122, 123, 124, 125, 126, 127, 131, 212, 213, 214, 215, 216, 217, 218, 219, 220.1, 220.2, 221, 222, 223, 224, 225, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 260.1, 260.2, 270.1, 270.2, 651.1, 654, 655, 656, 657, 658, 659, 660, 671, 2200, 2210, 2231.2, 2231.3, 2250.1, 2250.2, 2260.1, 2260.2, 2260.3, 2270.1, 2270.2, 2270.3, 2280.1, 2280.2, 2352, 2353, 2354, 2355, 2358, 2359, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 3261",,"Khan Yunis, Bani Suhaila, Abasan",Mawasi,168.36,0.0
2025-05-29,https://x.com/avichayadraee/status/1928188752137965694,"#عاجل ‼️ الى جميع سكان قطاع غزة المتواجدين في مناطق العطاطرة، جباليا البلد، الشجاعية، الدرج والزيتون
⭕️تواصل المنظمات الإرهابية نشاطها التخريبي في المنطقة ولذلك سوف يوسّع جيش الدفاع نشاطه الهجومي في مناطق وجودكم لتدمير قدرات المنظمات الإرهابية
🔴من هذه اللحظة، سيتم اعتبار المناطق المذكورة مناطق قتال خطيرة
⭕️تم تحذير هذه المناطق عدة مرات. من أجل سلامتكم عليكم اخلائها فوراً غرباً","To all residents of the Gaza Strip located in the areas of Al-Atatra, Jabalia Al-Balad, Shujaiya, Al-Daraj and Al-Zeitoun
⭕️ Terrorist organizations continue their subversive activity in the region, and therefore the IDF will expand its offensive activity in the areas where you are present to destroy the capabilities of the terrorist organizations.
🔴 From this moment on, the mentioned areas will be considered dangerous combat zones.
⭕️ These areas have been warned several times. For your safety, you must evacuate immediately to the west.",23:36,,,,,,,https://gazamaps.com/displacement/106,https://gazamaps.com/storage/displacement-maps/gaza/idf/MfithB3B3BGej3bsMR2N6PGwupKlePsptzjSRZcA.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/joWwN0TEkd5XRa5b3bGsMnALh7QnbNfQpXRM4ns6.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/B7pth7JRY1MUDuroE5jsEFPyn4jIoRrd3TpNZ1Us.jpg,"321, 568, 569, 570, 571, 572, 573, 574, 575, 576, 577, 578, 579, 580, 581, 582, 583, 584, 585, 586, 587, 589, 590, 604, 605, 606, 607, 608, 609, 610, 612, 613, 614, 615, 616, 617, 618, 619, 620, 622, 623, 624, 625, 626, 627, 628, 629, 630, 631, 632, 633, 634, 635, 636, 637, 638, 639.2, 639.4, 641, 646, 647, 648, 649, 650, 651, 652, 653, 654, 655, 656, 657, 658, 659.2, 660, 671.2, 672, 685.2, 686, 710, 711, 713, 714, 718, 719, 720, 721, 722, 723, 730, 731, 732, 733, 734, 735, 736, 737, 741, 742, 743, 747, 750, 751.1, 751.2, 752, 753, 754, 755, 756, 823, 824, 825, 830, 831, 832, 833, 834, 852, 853, 854, 864, 865, 866, 867, 868, 881, 887, 888, 889, 890, 891, 892, 893, 906, 909, 910, 914, 915, 916, 917, 918, 919, 920, 921, 922, 951, 952, 953, 954, 961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 971, 972, 973, 974, 975, 976, 977, 978, 979, 980, 982, 983, 984, 1122, 1123, 1124, 1126, 1738, 1739, 1740, 1741, 1742, 1743, 1744, 1745, 1746.1, 1746.2, 1747, 1748, 1749, 1750, 1751, 1752, 1754, 1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1769, 1770, 1771, 1772, 1774, 1775, 1776, 1777, 1778, 1781, 1782, 1783, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1804, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1817, 1818, 1819, 1820, 2200, 2210.2, 2210.3, 2231.3",," Gaza Strip, Al-Atatra, Jabalia Al-Balad, Shujaiya, Al-Daraj, Al-Zeitoun",west,95.31,0.0
2025-05-26,https://x.com/AvichayAdraee/status/1926956432005517694,"#عاجل ‼️ الى سكان محافظة خانيونس، بني سهيلا، عبسان والقرارة
⭕️جيش الدفاع يشن هجوماً غير مسبوق لتدمير قدرات المنظمات الإرهابية
⭕️تواصل المنظمات الإرهابية اطلاق قذائف صاروخية من مناطقكم
⭕️تعتبر منطقة محافظة خان يونس منطقة قتال خطيرة تم تحذيرها عدة مرات
🔴أخلوا فوراً غرباً الى منطقة https://t.co/6T7BCf8ikD","To the residents of Khan Yunis, Bani Suhaila, Abasan and Al-Qarara Governorates
⭕️ The IDF launches an unprecedented attack to destroy the capabilities of terrorist organizations.
⭕️ Terrorist organizations continue to launch rockets from your areas.
⭕️ Khan Yunis Governorate is considered a dangerous combat zone and has been warned several times.
🔴 Evacuate immediately west to the Al-Mawasi area. 🔴
⭕️ The evacuation order does not include Al-Amal and Nasser hospitals.",13:59,"Khan Yunis, Bani Suhaila, Abasan, Al-Qarara Governorates",https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid02sWN99DZYkAzXnwoof2zWxMPHGxHhZVCH2ZpTPGfCacpi2AXtJDupAmw5LyEx9Znel,14:03,,,Al-Mawasi,https://gazamaps.com/displacement/103,https://gazamaps.com/storage/displacement-maps/gaza/idf/RmyDQV3ijlI4BASk6m1GwvZZnPRT3ZmDWA8JEOAI.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/3T91A5nl2xIz57aigVPSEbOFDTLKJNSuQmb9QYFP.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/SKKJRUaiWAYV3Yip4PeREMUvbVLs8ExuJld3qVPp.jpg,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37.1, 37.2, 38, 39, 40, 41, 42.1, 42.2, 42.3, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 99, 100, 101, 102, 103, 104, 105, 106, 114, 115, 116, 117, 118, 121, 122, 123, 124, 125, 126, 127, 131, 212, 213, 214, 215, 216, 217, 218, 219, 220.1, 220.2, 221, 222, 223, 224, 225, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 260.1, 260.2, 270.1, 270.2, 2250.1, 2250.2, 2260.1, 2260.2, 2260.3, 2270.1, 2270.2, 2270.3, 2280.1, 2280.2, 2352, 2353, 2354, 2355, 2358, 2359, 2360, 2361, 2362, 2363, 2364, 2365, 2366, 2367, 2368, 2369, 2370, 2371, 2372, 2373, 2374, 2375, 2376, 3261",,"Khan Yunis, Bani Suhaila, Abasan, Al-Qarara Governorates",Al-Mawasi,154.44,0.0
2025-05-21,https://x.com/AvichayAdraee/status/1925245196570358157,"#عاجل ‼️ تحذير خطير الى كل سكان قطاع غزة المتواجدين في شمال القطاع وتحديدًا قي أحياء غبن، الشيماء، فدعوس، المنشية، الشيخ زايد، السلاطين، الكرامة، مشروع بيت لاهيا، الزهور، تل الزعتر، النور، عبد الرحمن، النهضة ومعسكر جباليا
🔴هذا تحذير مسبق قبل الهجوم!🔴
⭕️جيش الدفاع سوف يعمل بقوة https://t.co/IEQOuYQJJN","A serious warning to all residents of the Gaza Strip located in the northern part of the Strip, specifically in the neighborhoods of Ghaban, Al-Shimaa, Fadous, Al-Manshiya, Sheikh Zayed, Al-Salateen, Al-Karama, Beit Lahia Project, Al-Zahour, Tal Al-Zaatar, Al-Nour, Abdul Rahman, Al-Nahda and Jabalia Camp.
🔴 This is an advance warning before the attack! 🔴
⭕️ The IDF will operate with great force in every area from which rockets are launched.
⭕️ Terrorist organizations, especially Hamas, bear full responsibility for the suffering of the people.
⭕️ For your own safety, evacuate immediately south.",20:39,"Gaza Strip, Ghaban, Al-Shimaa, Fadous, Al-Manshiya, Sheikh Zayed, Al-Salateen, Al-Karama, Beit Lahia Project, Al-Zahour, Tal Al-Zaatar, Al-Nour, Abdul Rahman, Al-Nahda, Jabalia Camp",https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid0pnSwe9UVv2wkznLWWiDuVQripzYwgCxkRLCRvEdnXFBRj2SWvycfMEFfkm99K26Fl,20:41,,,Unknown,https://gazamaps.com/displacement/101,https://gazamaps.com/storage/displacement-maps/gaza/idf/LsVPnef0igxm50NpBI2Ar8spHFdJEr6FtfoU0FSE.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/4LETUhr4MQ67MEWfXAhNp0EMxSZokcTxiGTUqMlZ.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/QUoVgkg2bvkLILxWArxqjRW6JLhGKcxZyBv2TKJc.jpg,"961, 962, 963, 964, 965, 966, 967, 968, 969, 970, 970, 971, 972, 973, 974, 975, 976, 977, 978, 979, 980, 982, 983, 984, 1738, 1739, 1754, 1755, 1764, 1765, 1766, 1767, 1770, 1771, 1772, 1774, 1782, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1796, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816.2, 1817",,"Gaza Strip, Ghaban, Al-Shimaa, Fadous, Al-Manshiya, Sheikh Zayed, Al-Salateen, Al-Karama, Beit Lahia Project, Al-Zahour, Tal Al-Zaatar, Al-Nour, Abdul Rahman, Al-Nahda, Jabalia Camp",south,13.26,0.0
2025-05-19,https://x.com/AvichayAdraee/status/1924395324904210684,"#عاجل ‼️ الى سكان محافظة خان يونس، بني سهيلا وعبسان
⭕️جيش الدفاع الإسرائيلي سوف يشن هجوماً غير مسبوق لتدمير قدرات المنظمات الإرهابية في هذه المنطقة 
⭕️عليكم الأخلاء فوراً غرباً الى منطقة المواصي⭕️
⭕️من هذه اللحظة، ستعتبر محافظة خانيونس منطقة قتال خطيرة
⭕️المنظمات الإرهابية جلبت https://t.co/1yqOLDVTKK","To the residents of Khan Yunis, Bani Suhaila and Abasan Governorates
⭕️ The IDF will launch an unprecedented attack to destroy the capabilities of terrorist organizations in this area.
⭕️ You must evacuate immediately west to the Mawasi area. ⭕️
⭕️ From this moment, Khan Yunis Governorate will be considered a dangerous combat zone.
⭕️ Terrorist organizations have brought you disaster. For your safety, evacuate immediately.",12:22,"Khan Yunis, Bani Suhaila, Abasan",https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid03211dYDXnn3JAj5XPbJpobFbsZjqK4KJZWw52ZXBkqFv9YPPJkSHEyb8WWdDcUDZcl,12:23,,,Mawasi area,https://gazamaps.com/displacement/100,https://gazamaps.com/storage/displacement-maps/gaza/idf/jLQDLCkDh2HdpQVZRtYCVf4IQsO1O6HT2yeQRNg5.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/LVvG26mySzBfcBHizKXWGa8CBy5r7PJymgQxHgA2.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/mCbPKqwwWmAE1hEfoeU4zSzvZZ8IvnAOtAZbON7P.jpg,"36, 37.1, 37.2, 38, 39, 40, 41, 42.1, 42.2, 42.3, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 99, 100, 101, 102, 103, 104, 105, 106, 107.2, 108.2, 114, 115, 116, 117, 118, 121, 122, 123, 124, 125, 126, 127, 131, 212, 213, 214, 215, 216, 217, 218, 219, 220.1, 220.2, 221, 222, 223, 224, 225, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 260.1, 260.2, 2250.1, 2250.2, 2260.1, 2260.2, 2260.3, 2270.1, 2270.2, 2270.3, 2280.1, 2280.2, 2352, 2353, 2354, 2355",,"Khan Yunis, Bani Suhaila, Abasan",Mawasi,81.24,0.0
2025-05-18,https://x.com/avichayadraee/status/1924138581456506948,"#عاجل ‼️ إلى جميع سكان قطاع غزة  المتواجدين في منطقة القرارة، بلدية السلقا وجنوب دير البلح وأحياء الجعفراوي، السوار، ابو هداب والسطر
🔴هذا انذار مسبق وأخير قبل الهجوم!🔴
⭕️سنهاجم بقوة شديدة كل منطقة يتم استخدامها لاإطلاق قذائف صاروخية
⭕️تتحمل المنظمات الارهابية وفي مقدمتها حماس https://t.co/qaCBehOA6j","To all residents of the Gaza Strip located in the Al-Qarara area, the Salqa municipality, southern Deir al-Balah, and the Al-Jafrawi, Al-Suwar, Abu Hadab, and Al-Satr neighborhoods.
🔴 This is a final advance warning before the attack! 🔴
⭕️ We will attack with extreme force every area used to launch rockets.
⭕️ Terrorist organizations, primarily Hamas, bear full responsibility for the displacement and suffering of civilians.
⭕️ For your safety, you must move immediately west to the known shelters in Al Mawasi.",19:22,"Gaza Strip, Al-Qarara, Salqa, southern Deir al-Balah, Al-Jafrawi, Al-Suwar, Abu Hadab, Al-Satr",https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid02xguoBixDn4RnNmpd5c5pwGMvK5vkciapEmzUt5WgJ8Da3eyz4or5ark5kkMD31QBl,19:23,,,Al Mawasi,https://gazamaps.com/displacement/99,https://gazamaps.com/storage/displacement-maps/gaza/idf/yontNpJj5HUqqtDc2P4zxm1tkfJEUqeR16yuVEDH.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/ol95fq8LOog73ga7UwFNC1mqOI0IMjCgHI9tB2MW.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/ZDxIsNKnDc8tjKPF7j1I0WApFeFypZTqSQNkfbJ1.jpg,"126, 127, 129.1, 129.2, 130.1, 130.2, 131.1, 2352, 2353, 2354, 2355",,"Gaza Strip, Al-Qarara, Salqa, southern Deir al-Balah, Al-Jafrawi, Al-Suwar, Abu Hadab, Al-Satr",Al Mawasi,5.71,0.0
2025-05-16,,,,,Unknown,,,https://idfleaflets.com/53,"URGENT WARNING:

To all those who are in this area, either in shelters, a tent or a building.

You are in a dangerous combat zone and the place is not safe!

Immediately vacate the premises and head south",Unknown,,,,,,,Unknown,Unknown,,
2025-05-14,https://x.com/AvichayAdraee/status/1922675041692463360,"#عاجل ‼️ إلى سكان قطاع غزة الموجودين في البلوكات: 633, 706, 785, 786, 787 في منطقة حي الرمال الجنوبي 
⭕️نظرًا لقيام حماس الارهابية باستغلال المناطق المدنية لأنشطة إرهابية مثلما يتضح في الصورة المرفقة سيهاجم جيش الدفاع في المنطقة بقوة شديدة. 
⭕️من أجل سلامتكم عليكم اخلاء المنطقة. https://t.co/voQGOAtE27","To the residents of the Gaza Strip located in blocks: 633, 706, 785, 786, 787 in the southern Al-Rimal neighborhood area
⭕️ Due to the Hamas terrorist organization exploiting civilian areas for terrorist activities, as shown in the attached image, the IDF will attack the area with great force.
⭕️ For your safety, you must evacuate the area.
⭕️ Terrorist organizations, primarily Hamas, bear full responsibility for the suffering and displacement of the population.
🔴 For your safety, evacuate the area immediately 🔴",18:27,"Gaza Strip, Al-Rimal neighborhood",https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid05Tdg8CRCu7CXi586zKNMzyLvK9FvqhwnXp5KhvhqZ6oSjfizzQk2M5ubMCJCAKWAl,18:28,,,Unknown,https://gazamaps.com/displacement/98,https://gazamaps.com/storage/displacement-maps/gaza/idf/MHkS1S5l3zq9RUXckvkg6plcQhjGGCEmclJaKxfB.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/LunLPpLtku38FhrumjHn4lqzgddvXrR82gfhO4dn.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/lW78z11xsbgptgTUIDcliFjmWYlIRS5HhpaIxoTi.jpg,"663, 706, 785, 786, 787",,"Gaza Strip, Al-Rimal neighborhood",Unknown,1.61,0.0
2025-05-13,https://x.com/AvichayAdraee/status/1922380063351439569,"#عاجل ‼️ إلى جميع سكان قطاع غزة المتواجدين في بلدية جباليا، معسكر جباليا وأحياء تل الزعتر، الشيخ زايد، النور، السلام والروضة
🔴هذا انذار مسبق وأخير قبل الهجوم!🔴
⭕️سيهاجم جيش الدفاع بقوة شديدة كل منطقة يتم إطلاق قذائف صاروخية منها. 
⭕️تتحمل المنظمات الارهابية وفي مقدمتها حماس https://t.co/ZPlJg1kZ8L","To all residents of the Gaza Strip located in the Jabalia Municipality, Jabalia Camp, and the neighborhoods of Tal al-Zaatar, Sheikh Zayed, al-Nour, al-Salam, and al-Rawda
🔴 This is a final advance warning before the attack! 🔴
⭕️ The IDF will attack with great force every area from which rockets are launched.
⭕️ Terrorist organizations, primarily Hamas, bear full responsibility for the displacement and suffering of civilians.
⭕️ For your safety, you must move immediately to the known shelters in Gaza City.",22:54,"Gaza Strip, Jabalia Municipality, Jabalia Camp, Tal al-Zaatar, Sheikh Zayed, al-Nour, al-Salam, al-Rawda",https://www.facebook.com/IDFarabicAvichayAdraee/posts/pfbid02HxgFfFZh5ATVvtB2xjAVKzqNidBeyMMsZdK6AzcgYd8U3y1C8ZFZeqSsU1ec7HwEl,22:55,,,Gaza City,https://gazamaps.com/displacement/97,https://gazamaps.com/storage/displacement-maps/gaza/idf/AOHiqKJ6jCZsbhJ3zhCWzpcB8G5hGomsGi8yBwiE.jpg,https://gazamaps.com/storage/displacement-maps/gaza/full/oz3rMRO9MrrkX1zYoRaiSpkrWeOS5mUuA1cLOPoX.jpg,https://gazamaps.com/storage/displacement-maps/gaza/zoom/E43oYkZlKxdJLqk8Dzy3AmkOhqc8BZscRC4XV5eR.jpg,"754, 755, 1770, 1771, 1772, 1782, 1783, 1784, 1785, 1786, 1787, 1788, 1790, 1791, 1792, 1794, 1796, 1808, 1809, 1811",,"Gaza Strip, Jabalia Municipality, Jabalia Camp, Tal al-Zaatar, Sheikh Zayed, al-Nour, al-Salam, al-Rawda",Gaza City,5.06,0.0
